[27/05/2010 21:12:41] /owner nobody
[28/05/2010 17:28:06] /up
[28/05/2010 17:28:34] /m infernatill
[28/05/2010 17:28:49] /m training monk
[28/05/2010 17:28:55] /r
[28/05/2010 17:31:49] /down
[28/05/2010 17:31:55] /a 20
[28/05/2010 17:32:04] /a 16
[28/05/2010 17:32:07] /a 6
[28/05/2010 17:32:10] /a 6
[28/05/2010 17:32:12] /a 6
[28/05/2010 17:32:38] /a 10
[28/05/2010 17:32:52] /a 2
[28/05/2010 17:35:23] /m 2505
[28/05/2010 17:35:38] /i 2505
[28/05/2010 17:35:51] /i 2305
[28/05/2010 17:36:08] /i 2503
[28/05/2010 17:38:57] /addskill GOD Brolly, distance
[28/05/2010 17:39:16] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:17] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
[28/05/2010 17:39:18] /addskill GOD Brolly, distance
